App,Participant,Mode,Condition,Session,Block,Keystrokes,Characters,Time_(s),MSD,Speed_(wpm),Error_rate_(%),KSPC
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,28,26,86.049000,26,3.625841,NaN,1.076923
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,26,26,152.810000,5,2.041751,19.230769,1.000000
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,26,26,50.318000,5,6.200564,19.230769,1.000000
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,31,26,66.074000,3,4.721978,11.538462,1.192308
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,31,26,56.504000,4,5.521733,15.384615,1.192308
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,28,26,53.787000,3,5.800658,11.538462,1.076923
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,34,26,70.746000,1,4.410143,3.846154,1.307692
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,30,26,64.017000,2,4.873705,7.692308,1.153846
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,26,26,52.377000,3,5.956813,11.538462,1.000000
GraffitiExperiment,P01,GRAFFITI,C01,S00,B01,26,26,48.411000,4,6.444816,15.384615,1.000000
